시도명,시군구명,시군구코드,도로명,상세위치,평일주정차금지시작시각,평일주정차금지종료시각,토요일주정차금지시작시각,토요일주정차금지종료시각,공휴일주정차금지시작시각,공휴일주정차금지종료시각,명절허용여부
부산광역시,기장군,26710,정관4로,정관 휴먼시아1단지앞,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,읍내로,전자랜드 부근,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관5로,정관 홈플러스 부근,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관로,정관 외환은행,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,차성남로55번길,동부산농협,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,차성동로,석천탕 사거리,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,차성남로,태화당 한약방,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관로,EG더원2차아파트 주변,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관6로,정관 동원2차아파트,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,대청로,대라리 이진캐스빌,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관8로,정관어린이도서관,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관로,농협 정관지점,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관7로,돌고래분수광장,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,용수로,정관 협성르네상스,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,차성동로,동부산정형외과,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,차성동로,한신아파트(쉐보레대리점),09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,차성남로65번길,새마을금고후문(옥내과),09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,기장대로,기장대로 청강교회(총포사),09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,기장해안로,롯데아울렛 동부산점,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,구연4로,정관 중앙공원,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,기장해안로,롯데프리미엄아울렛,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,산단1로,탑마트정관점,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관7로,맛나감자탕정관점,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,차성로,교리초등학교 주변,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관덕산길,정관방곡초증학교 주변,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관1로,모전초등학교 주변,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관중앙로,삼성디지털프라자 정관점 앞,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,읍내로,기장시장공영주차장 입구,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,달산길,정관센트럴파크아파트 주변,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관6로,정관일신기독병원 주변,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,시랑리,힐튼부산입구 주변,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,일광로,일광역 회전교차로 내,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관6로,정관 스타벅스 사거리,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관6로,정관 KT정관분기국사 사거리,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,정관중앙로,정관 영풍문고 인근,09:00,21:00,09:00,21:00,09:00,21:00,N
부산광역시,기장군,26710,구연4로,정관 경남은행 인근,09:00,21:00,09:00,21:00,09:00,21:00,N