무인교통단속카메라관리번호,시도명,시군구명,도로노선명,소재지도로명주소,소재지지번주소,위도,경도
주정차-1,부산광역시,서구,충무대로,부산광역시 서구 충무대 221,부산 서구 남부민동 652-3,35.088507,129.024179
주정차-2,부산광역시,서구,구덕로,부산광역시 서구 구덕로185번길22-11,부산 서구 아미동1가 10-1,35.100814,129.018729
주정차-3,부산광역시,서구,구덕로,부산광역시 서구 구덕로325,부산 서구 서대신동3가 389-1,35.112807,129.016142
주정차-4,부산광역시,서구,충무대로,부산광역시 서구 충무대로274,부산 서구 충무동1가 32-54,35.094967,129.024399
주정차-5,부산광역시,서구,꽃마을로,부산광역시 서구 꽃마을로24,부산 서구 서대신동3가 147-2,35.098179,129.019732
주정차-6,부산광역시,서구,동대로,부산광역시 서구 동대로28,부산 서구 동대신동3가 13-6,35.119804,129.016306
주정차-7,부산광역시,서구,보수대로,부산광역시 서구 보수대로15,부산 서구 토성동1가 51-1,35.098124,129.025094
주정차-8,부산광역시,서구,충무대로,부산광역시 충무대로21-1,부산 서구 암남동 331-6,35.077522,129.015906
주정차-9,부산광역시,서구,구덕로,부산광역시 서구 구덕로 120,부산 서구 토성동1가 55-9,35.096733,129.021975
주정차-10,부산광역시,서구,동대로,부산광역시 서구 동대로8,부산 서구 동대신동3가 13-6,35.11948,129.017004
주정차-11,부산광역시,서구,송도해변로,부산광역시 서구 해변로135,부산 서구 암남동 135-11,35.076001,129.02303
주정차-12,부산광역시,서구,대영로,부산광역시 서구 대영로38번길,부산 서구서대신동1가 60-14,35.108602,129.015129
주정차-13,부산광역시,서구,구덕로,부산광역시 서구 구덕로249,부산 서구 부용동 2가 100,35.10777,129.016688
주정차-14,부산광역시,서구,송도해변로,부산광역시 서구 송도해변로171,부산 서구 암남동 123-23,35.076175,129.023967
주정차-15,부산광역시,서구,충무대로,부산광역시 서구 충무대로82번길,부산 서구 암남동 177-2,35.078891,129.021436
주정차-16,부산광역시,서구,암남공원로,부산광역시 서구 암남공원로,부산 서구 암남동 621-73,35.062931,129.01942
주정차-17,부산광역시,서구,대신로,부산광역시 서구 대신로63,부산 서구 서대신동3가 545-2(도),35.115209,129.012336
주정차-18,부산광역시,서구,보수대로,부산광역시 서구 보수대로27,부산 서구 토성동1가 25-1,35.09954,129.023497